,coords_str,lat,lon,distance_to_center,p,q,r,dl_done,asian,european,fast,night_life,other,sweet,all
66,27_-28_1,48.84183122880457,2.387242837159431,4765,27,-28,1,1.0,5.0,2.0,1.0,0.0,0.0,0.0,9.0
67,26_-28_2,48.841318512556455,2.3858931024498227,4686,26,-28,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
68,25_-28_3,48.84080579630832,2.3845433677402137,4611,25,-28,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
69,24_-28_4,48.84029308006021,2.3831936330306056,4543,24,-28,4,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
70,23_-28_5,48.8397803638121,2.381843898320997,4479,23,-28,5,1.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0
71,22_-28_6,48.83926764756397,2.3804941636113885,4422,22,-28,6,1.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0
72,21_-28_7,48.83875493131586,2.37914442890178,4371,21,-28,7,1.0,2.0,5.0,2.0,1.0,0.0,0.0,11.0
73,20_-28_8,48.83824221506774,2.3777946941921715,4326,20,-28,8,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0
74,19_-28_9,48.83772949881962,2.376444959482563,4288,19,-28,9,1.0,0.0,1.0,3.0,0.0,2.0,0.0,7.0
75,18_-28_10,48.837216782571495,2.375095224772954,4256,18,-28,10,1.0,0.0,2.0,5.0,2.0,2.0,0.0,12.0
76,17_-28_11,48.836704066323385,2.373745490063345,4232,17,-28,11,1.0,0.0,2.0,5.0,3.0,2.0,0.0,13.0
77,16_-28_12,48.83619135007528,2.372395755353737,4214,16,-28,12,1.0,0.0,2.0,7.0,1.0,2.0,0.0,13.0
78,15_-28_13,48.83567863382715,2.3710460206441284,4203,15,-28,13,1.0,0.0,3.0,4.0,1.0,0.0,0.0,9.0
79,14_-28_14,48.83516591757903,2.36969628593452,4199,14,-28,14,1.0,1.0,2.0,2.0,1.0,1.0,0.0,8.0
80,13_-28_15,48.83465320133091,2.368346551224912,4203,13,-28,15,1.0,1.0,2.0,3.0,0.0,1.0,0.0,8.0
81,12_-28_16,48.83414048508279,2.3669968165153032,4214,12,-28,16,1.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0
82,11_-28_17,48.83362776883467,2.3656470818056943,4232,11,-28,17,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
83,10_-28_18,48.833115052586564,2.3642973470960857,4256,10,-28,18,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0
84,9_-28_19,48.83260233633843,2.362947612386477,4288,9,-28,19,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0
85,8_-28_20,48.83208962009032,2.3615978776768687,4326,8,-28,20,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0
86,7_-28_21,48.83157690384221,2.36024814296726,4371,7,-28,21,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0
87,6_-28_22,48.83106418759409,2.3588984082576507,4422,6,-28,22,1.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0
88,5_-28_23,48.830551471345956,2.3575486735480427,4479,5,-28,23,1.0,5.0,1.0,1.0,0.0,0.0,2.0,10.0
89,4_-28_24,48.830038755097846,2.356198938838434,4543,4,-28,24,1.0,6.0,1.0,2.0,0.0,1.0,1.0,12.0
90,3_-28_25,48.82952603884973,2.3548492041288256,4611,3,-28,25,1.0,7.0,7.0,13.0,0.0,2.0,0.0,30.0
91,2_-28_26,48.82901332260161,2.3534994694192166,4686,2,-28,26,1.0,5.0,11.0,9.0,2.0,3.0,0.0,31.0
92,1_-28_27,48.828500606353494,2.3521497347096085,4765,1,-28,27,1.0,5.0,12.0,8.0,7.0,3.0,1.0,37.0
93,0_-28_28,48.82798789010538,2.3508,4849,0,-28,28,1.0,4.0,12.0,8.0,8.0,2.0,1.0,36.0
94,-1_-28_29,48.82747517385726,2.3494502652903915,4938,-1,-28,29,1.0,4.0,10.0,9.0,8.0,2.0,1.0,35.0
95,-2_-28_30,48.82696245760914,2.3481005305807834,5031,-2,-28,30,1.0,3.0,6.0,6.0,7.0,1.0,1.0,25.0
96,30_-27_-3,48.84439481004516,2.391292041288257,4956,30,-27,-3,1.0,2.0,1.0,4.0,0.0,0.0,0.0,8.0
97,29_-27_-2,48.843882093797035,2.3899423065786483,4859,29,-27,-2,1.0,4.0,1.0,3.0,0.0,0.0,0.0,9.0
98,28_-27_-1,48.84336937754893,2.38859257186904,4765,28,-27,-1,1.0,6.0,1.0,4.0,0.0,0.0,0.0,12.0
99,27_-27_0,48.84285666130079,2.387242837159431,4676,27,-27,0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,9.0
100,26_-27_1,48.84234394505268,2.3858931024498227,4592,26,-27,1,1.0,2.0,3.0,2.0,0.0,0.0,0.0,8.0
101,25_-27_2,48.84183122880457,2.3845433677402137,4513,25,-27,2,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0
102,24_-27_3,48.841318512556455,2.3831936330306056,4439,24,-27,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
103,23_-27_4,48.84080579630832,2.381843898320997,4371,23,-27,4,1.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0
104,22_-27_5,48.84029308006021,2.3804941636113885,4309,22,-27,5,1.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0
105,21_-27_6,48.8397803638121,2.37914442890178,4253,21,-27,6,1.0,2.0,5.0,2.0,1.0,0.0,0.0,11.0
106,20_-27_7,48.83926764756397,2.3777946941921715,4203,20,-27,7,1.0,1.0,3.0,2.0,1.0,0.0,0.0,8.0
107,19_-27_8,48.83875493131586,2.376444959482563,4160,19,-27,8,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0
108,18_-27_9,48.83824221506774,2.375095224772954,4124,18,-27,9,1.0,0.0,1.0,5.0,0.0,2.0,0.0,9.0
109,17_-27_10,48.83772949881962,2.373745490063345,4095,17,-27,10,1.0,0.0,1.0,6.0,1.0,2.0,0.0,11.0
110,16_-27_11,48.837216782571495,2.372395755353737,4073,16,-27,11,1.0,0.0,2.0,7.0,1.0,2.0,0.0,13.0
111,15_-27_12,48.836704066323385,2.3710460206441284,4058,15,-27,12,1.0,0.0,3.0,6.0,1.0,0.0,0.0,11.0
112,14_-27_13,48.83619135007528,2.36969628593452,4050,14,-27,13,1.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0
113,13_-27_14,48.83567863382715,2.368346551224912,4050,13,-27,14,1.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0
114,12_-27_15,48.83516591757903,2.3669968165153032,4058,12,-27,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
115,11_-27_16,48.83465320133091,2.3656470818056943,4073,11,-27,16,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
116,10_-27_17,48.83414048508279,2.3642973470960857,4095,10,-27,17,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
117,9_-27_18,48.83362776883467,2.362947612386477,4124,9,-27,18,1.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0
118,8_-27_19,48.833115052586564,2.3615978776768687,4160,8,-27,19,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0
119,7_-27_20,48.83260233633843,2.36024814296726,4203,7,-27,20,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
120,6_-27_21,48.83208962009032,2.3588984082576507,4253,6,-27,21,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
121,5_-27_22,48.83157690384221,2.3575486735480427,4309,5,-27,22,1.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0
122,4_-27_23,48.83106418759409,2.356198938838434,4371,4,-27,23,1.0,6.0,1.0,2.0,0.0,1.0,2.0,13.0
123,3_-27_24,48.830551471345956,2.3548492041288256,4439,3,-27,24,1.0,6.0,7.0,11.0,0.0,2.0,1.0,28.0
124,2_-27_25,48.830038755097846,2.3534994694192166,4513,2,-27,25,1.0,5.0,8.0,10.0,1.0,2.0,0.0,27.0
125,1_-27_26,48.82952603884973,2.3521497347096085,4592,1,-27,26,1.0,7.0,14.0,9.0,4.0,4.0,1.0,40.0
126,0_-27_27,48.82901332260161,2.3508,4676,0,-27,27,1.0,5.0,13.0,7.0,8.0,2.0,1.0,37.0
127,-1_-27_28,48.828500606353494,2.3494502652903915,4765,-1,-27,28,1.0,4.0,10.0,7.0,8.0,2.0,1.0,33.0
128,-2_-27_29,48.82798789010538,2.3481005305807834,4859,-2,-27,29,1.0,6.0,7.0,6.0,7.0,1.0,1.0,29.0
129,-3_-27_30,48.82747517385726,2.3467507958711744,4956,-3,-27,30,1.0,3.0,2.0,4.0,4.0,0.0,1.0,15.0
130,30_-26_-4,48.84542024254139,2.391292041288257,4886,30,-26,-4,1.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0
131,29_-26_-3,48.84490752629328,2.3899423065786483,4784,29,-26,-3,1.0,3.0,1.0,3.0,0.0,0.0,0.0,8.0
132,28_-26_-2,48.84439481004516,2.38859257186904,4686,28,-26,-2,1.0,3.0,1.0,3.0,0.0,0.0,0.0,8.0
133,27_-26_-1,48.843882093797035,2.387242837159431,4592,27,-26,-1,1.0,4.0,1.0,4.0,0.0,0.0,0.0,10.0
134,26_-26_0,48.84336937754893,2.3858931024498227,4503,26,-26,0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,9.0
135,25_-26_1,48.84285666130079,2.3845433677402137,4419,25,-26,1,1.0,1.0,1.0,3.0,1.0,0.0,0.0,7.0
136,24_-26_2,48.84234394505268,2.3831936330306056,4340,24,-26,2,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0
137,23_-26_3,48.84183122880457,2.381843898320997,4267,23,-26,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
138,22_-26_4,48.841318512556455,2.3804941636113885,4200,22,-26,4,1.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0
139,21_-26_5,48.84080579630832,2.37914442890178,4138,21,-26,5,1.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0
140,20_-26_6,48.84029308006021,2.3777946941921715,4084,20,-26,6,1.0,0.0,3.0,2.0,2.0,0.0,0.0,8.0
141,19_-26_7,48.8397803638121,2.376444959482563,4036,19,-26,7,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0
142,18_-26_8,48.83926764756397,2.375095224772954,3994,18,-26,8,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0
143,17_-26_9,48.83875493131586,2.373745490063345,3961,17,-26,9,1.0,1.0,3.0,6.0,0.0,2.0,0.0,13.0
144,16_-26_10,48.83824221506774,2.372395755353737,3934,16,-26,10,1.0,1.0,3.0,6.0,3.0,2.0,0.0,16.0
145,15_-26_11,48.83772949881962,2.3710460206441284,3915,15,-26,11,1.0,1.0,3.0,5.0,3.0,0.0,0.0,13.0
146,14_-26_12,48.837216782571495,2.36969628593452,3903,14,-26,12,1.0,1.0,4.0,4.0,2.0,0.0,0.0,12.0
147,13_-26_13,48.836704066323385,2.368346551224912,3899,13,-26,13,1.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0
148,12_-26_14,48.83619135007528,2.3669968165153032,3903,12,-26,14,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
149,11_-26_15,48.83567863382715,2.3656470818056943,3915,11,-26,15,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
150,10_-26_16,48.83516591757903,2.3642973470960857,3934,10,-26,16,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
151,9_-26_17,48.83465320133091,2.362947612386477,3961,9,-26,17,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
152,8_-26_18,48.83414048508279,2.3615978776768687,3994,8,-26,18,1.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0
153,7_-26_19,48.83362776883467,2.36024814296726,4036,7,-26,19,1.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0
154,6_-26_20,48.833115052586564,2.3588984082576507,4084,6,-26,20,1.0,1.0,0.0,3.0,0.0,1.0,2.0,8.0
155,5_-26_21,48.83260233633843,2.3575486735480427,4138,5,-26,21,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0
156,4_-26_22,48.83208962009032,2.356198938838434,4199,4,-26,22,1.0,8.0,10.0,10.0,2.0,1.0,2.0,34.0
157,3_-26_23,48.83157690384221,2.3548492041288256,4267,3,-26,23,1.0,9.0,11.0,10.0,2.0,2.0,2.0,37.0
158,2_-26_24,48.83106418759409,2.3534994694192166,4340,2,-26,24,1.0,6.0,8.0,9.0,0.0,2.0,0.0,26.0
159,1_-26_25,48.830551471345956,2.3521497347096085,4419,1,-26,25,1.0,5.0,8.0,5.0,1.0,2.0,0.0,22.0
160,0_-26_26,48.830038755097846,2.3508,4503,0,-26,26,1.0,5.0,8.0,3.0,1.0,3.0,0.0,21.0
161,-1_-26_27,48.82952603884973,2.3494502652903915,4592,-1,-26,27,1.0,3.0,7.0,3.0,5.0,2.0,1.0,22.0
162,-2_-26_28,48.82901332260161,2.3481005305807834,4686,-2,-26,28,1.0,4.0,6.0,3.0,5.0,1.0,1.0,21.0
163,-3_-26_29,48.828500606353494,2.3467507958711744,4784,-3,-26,29,1.0,4.0,2.0,4.0,3.0,0.0,0.0,14.0
164,-4_-26_30,48.82798789010538,2.345401061161566,4886,-4,-26,30,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0
165,30_-25_-5,48.84644567503763,2.391292041288257,4821,30,-25,-5,1.0,2.0,2.0,4.0,0.0,0.0,0.0,9.0
166,29_-25_-4,48.84593295878951,2.3899423065786483,4714,29,-25,-4,1.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0
167,28_-25_-3,48.84542024254139,2.38859257186904,4611,28,-25,-3,1.0,2.0,1.0,4.0,0.0,0.0,0.0,8.0
168,27_-25_-2,48.84490752629328,2.387242837159431,4513,27,-25,-2,1.0,2.0,1.0,4.0,0.0,1.0,0.0,9.0
169,26_-25_-1,48.84439481004516,2.3858931024498227,4419,26,-25,-1,1.0,4.0,2.0,4.0,1.0,1.0,0.0,13.0
170,25_-25_0,48.843882093797035,2.3845433677402137,4330,25,-25,0,1.0,4.0,1.0,4.0,1.0,2.0,0.0,13.0
171,24_-25_1,48.84336937754893,2.3831936330306056,4246,24,-25,1,1.0,3.0,1.0,4.0,2.0,2.0,0.0,13.0
172,23_-25_2,48.84285666130079,2.381843898320997,4167,23,-25,2,1.0,0.0,1.0,2.0,2.0,0.0,0.0,6.0
173,22_-25_3,48.84234394505268,2.3804941636113885,4095,22,-25,3,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0
174,21_-25_4,48.84183122880457,2.37914442890178,4028,21,-25,4,1.0,0.0,2.0,2.0,2.0,0.0,0.0,7.0
175,20_-25_5,48.841318512556455,2.3777946941921715,3968,20,-25,5,1.0,0.0,2.0,2.0,2.0,0.0,0.0,7.0
176,19_-25_6,48.84080579630832,2.376444959482563,3915,19,-25,6,1.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0
177,18_-25_7,48.84029308006021,2.375095224772954,3869,18,-25,7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
178,17_-25_8,48.8397803638121,2.373745490063345,3830,17,-25,8,1.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0
179,16_-25_9,48.83926764756397,2.372395755353737,3798,16,-25,9,1.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0
180,15_-25_10,48.83875493131586,2.3710460206441284,3774,15,-25,10,1.0,0.0,2.0,1.0,3.0,0.0,0.0,7.0
181,14_-25_11,48.83824221506774,2.36969628593452,3758,14,-25,11,1.0,1.0,4.0,2.0,4.0,0.0,0.0,12.0
182,13_-25_12,48.83772949881962,2.368346551224912,3750,13,-25,12,1.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0
183,12_-25_13,48.837216782571495,2.3669968165153032,3750,12,-25,13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
184,11_-25_14,48.836704066323385,2.3656470818056943,3758,11,-25,14,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
185,10_-25_15,48.83619135007528,2.3642973470960857,3774,10,-25,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,9_-25_16,48.83567863382715,2.362947612386477,3798,9,-25,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187,8_-25_17,48.83516591757903,2.3615978776768687,3830,8,-25,17,1.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0
188,7_-25_18,48.83465320133091,2.36024814296726,3869,7,-25,18,1.0,2.0,0.0,2.0,2.0,1.0,0.0,8.0
189,6_-25_19,48.83414048508279,2.3588984082576507,3915,6,-25,19,1.0,2.0,0.0,3.0,1.0,1.0,1.0,9.0
190,5_-25_20,48.83362776883467,2.3575486735480427,3968,5,-25,20,1.0,3.0,5.0,5.0,0.0,0.0,2.0,16.0
191,4_-25_21,48.833115052586564,2.356198938838434,4028,4,-25,21,1.0,4.0,7.0,6.0,2.0,1.0,2.0,23.0
192,3_-25_22,48.83260233633843,2.3548492041288256,4095,3,-25,22,1.0,4.0,9.0,7.0,2.0,2.0,1.0,26.0
193,2_-25_23,48.83208962009032,2.3534994694192166,4167,2,-25,23,1.0,8.0,11.0,6.0,2.0,3.0,0.0,31.0
194,1_-25_24,48.83157690384221,2.3521497347096085,4246,1,-25,24,1.0,6.0,7.0,5.0,1.0,1.0,0.0,21.0
195,0_-25_25,48.83106418759409,2.3508,4330,0,-25,25,1.0,3.0,1.0,2.0,0.0,1.0,0.0,8.0
196,-1_-25_26,48.830551471345956,2.3494502652903915,4419,-1,-25,26,1.0,2.0,5.0,3.0,0.0,0.0,0.0,11.0
197,-2_-25_27,48.830038755097846,2.3481005305807834,4513,-2,-25,27,1.0,1.0,5.0,2.0,0.0,0.0,0.0,9.0
198,-3_-25_28,48.82952603884973,2.3467507958711744,4611,-3,-25,28,1.0,2.0,1.0,3.0,1.0,0.0,0.0,8.0
199,-4_-25_29,48.82901332260161,2.345401061161566,4714,-4,-25,29,1.0,2.0,0.0,3.0,0.0,0.0,1.0,7.0
200,-5_-25_30,48.828500606353494,2.3440513264519574,4821,-5,-25,30,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0
201,30_-24_-6,48.847471107533856,2.391292041288257,4762,30,-24,-6,1.0,2.0,6.0,3.0,1.0,0.0,0.0,13.0
202,29_-24_-5,48.84695839128575,2.3899423065786483,4650,29,-24,-5,1.0,3.0,2.0,3.0,2.0,0.0,0.0,11.0
203,28_-24_-4,48.84644567503763,2.38859257186904,4543,28,-24,-4,1.0,2.0,0.0,3.0,2.0,1.0,0.0,9.0
204,27_-24_-3,48.84593295878951,2.387242837159431,4439,27,-24,-3,1.0,1.0,1.0,5.0,1.0,1.0,0.0,10.0
